"source_id","n_rows_whole","n_rows_particles","pmcid","link","license","verification_sources","citation"
"SRC_0058","4","19","PMC12567144","https://doi.org/10.3390/pharmaceutics17101339","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Development of Co-Amorphous Systems for Inhalation Therapy—Part 2: In Silico Guided Co-Amorphous Rifampicin–Moxifloxacin and –Ethambutol Formulations. Eleonore Fröhlich et al. (2025). Pharmaceutics."
"SRC_0059","5","0","PMC6708488","https://doi.org/10.1016/j.xphs.2019.05.011","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Simultaneous Particle Size Reduction and Homogeneous Mixing to Produce Combinational Powder Formulations for Inhalation by the Single-Step Co-Jet Milling. Junhong Ling et al. (2019). Journal of Pharmaceutical Sciences."
"SRC_0060","5","0","PMC6280810","https://doi.org/10.1007/s13346-017-0462-8","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Agglomerated novel spray-dried lactose-leucine tailored as a carrier to enhance the aerosolization performance of salbutamol sulfate from DPI formulations. Carlos Molina et al. (2018). Drug Delivery and Translational Research."
"SRC_0061","4","0","PMC6836091","https://doi.org/10.3390/pharmaceutics11100502","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Inhalable Dry Powder of Bedaquiline for Pulmonary Tuberculosis: In Vitro Physicochemical Characterization, Antimicrobial Activity and Safety Studies. Mohammad A. M. Momin et al. (2019). Pharmaceutics."
"SRC_0062","3","13","PMC8217042","https://doi.org/10.1007/s11095-021-03061-5","CC BY 4.0","Crossref; PubMed Central; Unpaywall","Spray-Congealing and Wet-Sieving as Alternative Processes for Engineering of Inhalation Carrier Particles: Comparison of Surface Properties, Blending and In Vitro Performance. Joana T. Pinto et al. (2021). Pharmaceutical Research."
"SRC_0063","0","4","PMC6321429","https://doi.org/10.3390/pharmaceutics10040252","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex; Unpaywall","Moisture-Resistant Co-Spray-Dried Netilmicin with l-Leucine as Dry Powder Inhalation for the Treatment of Respiratory Infections. Cui et al. (2018). Pharmaceutics."
"SRC_0064","0","12","PMC9145523","https://doi.org/10.3390/pharmaceutics14050895","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex; Unpaywall","Dry Powder Formulation of Simvastatin Nanoparticles for Potential Application in Pulmonary Arterial Hypertension. Zendehdel Baher et al. (2022). Pharmaceutics."
"SRC_0065","6","0","","https://doi.org/10.31788/RJC.2022.1516652","CC BY 4.0","Source document","In-vitro Physicochemical Properties and Antibacterial Activity of Ciprofloxacin-Carrageenan Inhalable Microspheres. Hariyadi et al. (2022). Rasayan Journal of Chemistry, 15(1), 132–142."
"SRC_0066","2","27","PMC9357420","https://doi.org/10.2147/IJN.S372582","CC BY-NC 3.0","Source document; Crossref; PubMed Central; OpenAlex","Inhalable Nano-Dimpled Microspheres Containing Budesonide-PLGA for Improved Aerodynamic Performance. Chang-Soo Han et al. (2022). International Journal of Nanomedicine."
"SRC_0067","6","51","PMC11994481","https://doi.org/10.2147/IJN.S511099","CC BY-NC 4.0","Source document; Crossref; PubMed Central; OpenAlex","Lung-Targeted Itraconazole Delivery Using PVA-Based Nano-in-Microparticles for Improved Treatment of Pulmonary Aspergillosis. Jin-Hyuk Jeong et al. (2025). International Journal of Nanomedicine."
"SRC_0068","3","27","","https://doi.org/10.33808/clinexphealthsci.1015166","CC BY-NC 4.0","Journal policy","Development of Triamcinolone Acetonide Loaded Poly(lactide-co-glycolic acid) Dry Powder Inhaler Formulations For The Treatment of Asthma. Aysu YURDASİPER (2022). Clinical and Experimental Health Sciences."
"SRC_0069","2","0","","https://doi.org/10.29228/jrp.136","CC BY-NC 4.0","Unpaywall; Journal policy","Formulation and characterization of mometasone furoate and formoterol fumarate containing dry powder inhaler by spray drying and homogenization methods. Yagmur AKDAG et al. (2022). Journal of Research in Pharmacy."
